5.1 Cyrillic Kerning, 
Uc   

Ьъ   Ьънон
Ьэ   Ьэнон
Ья   Ьянон
Ьѵ   Ьѵнон
Ьг  Ьгнон
Ћб   Ћбнон
Ћд   Ћднон
Ћж   Ћжнон
Ћз   Ћзнон
Ћл   Ћлнон
Ћт   Ћтнон
Ћу   Ћунон
Ћф   Ћфнон
Ћч   Ћчнон
Ћъ   Ћънон
Ћэ   Ћэнон
Ћя   Ћянон
Ћѵ   Ћѵнон
Ћг  Ћгнон
Ѵб  Ѵбнон
Ѵд   Ѵднон
Ѵж   Ѵжнон
Ѵз   Ѵзнон
Ѵл   Ѵлнон
Ѵт   Ѵтнон
Ѵу   Ѵунон
Ѵф   Ѵфнон
Ѵч   Ѵчнон
Ѵъ   Ѵънон
Ѵэ   Ѵэнон
Ѵя   Ѵянон
Ѵѵ   Ѵѵнон
Ѵг  Ѵгнон
Рб  Рбнон
Рд   Рднон
Рж   Ржнон
Рз   Рзнон
Рл   Рлнон
Рт   Ртнон
Ру   Рунон
Рф   Рфнон
Рч   Рчнон
Ръ   Рънон
Рэ   Рэнон
Ря   Рянон
РР   РРнон
Рг  Ргнон

5.4 Cyrillic Kerning,  
Punct. + lc   


н.ана.н
н.бнб.н
н.внв.н
н.гнг.н
н.днд.н
н.ене.н
н.жнж.н
н.знз.н
н.ини.н
н.кнк.н
н.мнм.н
н.пнп.н
н.рнр.н
н.снс.н
н.тнт.н
н.уну.н
н.фнф.н
н.хнх.н
н.чнч.н
н.цнц.н
н.ънъ.н
н.ыны.н
н.ьнь.н
н.энэ.н
н.яня.н
н.ѵнѵ.н

н:ана:н
н:бнб:н
н:внв:н
н:гнг:н
н:днд:н
н:ене:н
н:жнж:н
н:знз:н
н:ини:н
н:кнк:н
н:мнм:н
н:пнп:н
н:рнр:н
н:снс:н
н:тнт:н
н:уну:н
н:фнф:н
н:хнх:н
н:чнч:н
н:цнц:н
н:ънъ:н
н:ыны:н
н:ьнь:н
н:энэ:н
н:яня:н
н:ѵнѵ:н

н–ана-н
н-бнб-н
н-внв-н
н-гнг-н
н-днд-н
н-ене-н
н-жнж-н
н-знз-н
н-ини-н
н-кнк-н
н-мнм-н
н-пнп-н
н-рнр-н
н-снс-н
н-тнт-н
н-уну-н
н-фнф-н
н-хнх-н
н-чнч-н
н-цнц-н
н-ънъ-н
н-ыны-н
н-ьнь-н
н-энэ-н
н-яня-н
н-ѵнѵ-н

н_ана_н
н_бнб_н
н_внв_н
н_гнг_н
н_днд_н
н_ене_н
н_жнж_н
н_знз_н
н_ини_н
н_кнк_н
н_мнм_н
н_пнп_н
н_рнр_н
н_снс_н
н_тнт_н
н_уну_н
н_фнф_н
н_хнх_н
н_чнч_н
н_цнц_н
н_ънъ_н
н_ыны_н
н_ьнь_н
н_энэ_н
н_яня_н
н_ѵнѵ_н

н//ана//н
н//бнб//н
н//внв//н
н//гнг//н
н//днд//н
н//ене//н
н//жнж//н
н//знз//н
н//ини//н
н//кнк//н
н//мнм//н
н//пнп//н
н//рнр//н
н//снс//н
н//тнт//н
н//уну//н
н//фнф//н
н//хнх//н
н//чнч//н
н//цнц//н
н//ънъ//н
н//ыны//н
н//ьнь//н
н//энэ//н
н//яня//н
н//ѵнѵ//н

н\ана\н
н\бнб\н
н\внв\н
н\гнг\н
н\днд\н
н\ене\н
н\жнж\н
н\знз\н
н\ини\н
н\кнк\н
н\мнм\н
н\пнп\н
н\рнр\н
н\снс\н
н\тнт\н
н\уну\н
н\фнф\н
н\хнх\н
н\чнч\н
н\цнц\н
н\ънъ\н
н\ыны\н
н\ьнь\н
н\энэ\н
н\яня\н
н\ѵнѵ\н

н(ана)н
н(бнб)н
н(внв)н
н(гнг)н
н(днд)н
н(ене)н
н(жнж)н
н(знз)н
н(ини)н
н(кнк)н
н(мнм)н
н(пнп)н
н(рнр)н
н(снс)н
н(тнт)н
н(уну)н
н(фнф)н
н(хнх)н
н(чнч)н
н(цнц)н
